municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Somosierra;2020/03/03 07:00:00;;0;;0;1436
Alpedrete;2020/03/03 07:00:00;;0;;0;0105
Orusco de Tajuña;2020/03/03 07:00:00;;0;;0;1028
La Hiruela;2020/03/03 07:00:00;;0;;0;0698
Cervera de Buitrago;2020/03/03 07:00:00;;0;;0;0395
Getafe;2020/03/03 07:00:00;;0,55;;0,55;0650
Ribatejada;2020/03/03 07:00:00;;0;;0;1224
Villaconejos;2020/03/03 07:00:00;;0;;0;1701
Valdetorres de Jarama;2020/03/03 07:00:00;;0;;0;1646
Madrid-Retiro;2020/03/02 07:00:00;;0;;0;079603
Madrid-Salamanca;2020/03/02 07:00:00;;2,05;;2,05;079604
Madrid-Centro;2020/03/02 07:00:00;;0,74;;0,74;079601
Madrid-Arganzuela;2020/03/02 07:00:00;;0;;0;079602
Madrid-Chamartín;2020/03/02 07:00:00;;0,69;;0,69;079605
Madrid-Tetuán;2020/03/02 07:00:00;6;3,8;6;3,8;079606
Madrid-Chamberí;2020/03/02 07:00:00;;0;;0;079607
Madrid-Fuencarral-El Pardo;2020/03/02 07:00:00;;1,22;;1,22;079608
Madrid-Moncloa-Aravaca;2020/03/02 07:00:00;;0;;0;079609
Madrid-Latina;2020/03/02 07:00:00;;0,42;;0,42;079610
Madrid-Carabanchel;2020/03/02 07:00:00;;0,4;;0,4;079611
Madrid-Usera;2020/03/02 07:00:00;;0;;0;079612
Madrid-Puente de Vallecas;2020/03/02 07:00:00;;0,43;;0,43;079613
Madrid-San Blas - Canillejas;2020/03/02 07:00:00;;0,63;;0,63;079620
Madrid-Barajas;2020/03/02 07:00:00;;2,04;;2,04;079621
Madrid-Moratalaz;2020/03/02 07:00:00;;1,06;;1,06;079614
Madrid-Ciudad Lineal;2020/03/02 07:00:00;;0;;0;079615
Madrid-Hortaleza;2020/03/02 07:00:00;;1,06;;1,06;079616
Madrid-Villaverde;2020/03/02 07:00:00;;0;;0;079617
Madrid-Villa de Vallecas;2020/03/02 07:00:00;;0;;0;079618
Madrid-Vicálvaro;2020/03/02 07:00:00;;0;;0;079619
Pozuelo de Alarcón;2020/03/02 07:00:00;;2,31;;2,31;1150
Alcorcón;2020/03/02 07:00:00;;0,59;;0,59;0072
Navalcarnero;2020/03/02 07:00:00;;0;;0;0967
San Agustín del Guadalix;2020/03/02 07:00:00;;7,47;;7,47;1296
Las Rozas de Madrid;2020/03/02 07:00:00;;1,04;;1,04;1277
Moraleja de Enmedio;2020/03/02 07:00:00;;0;;0;0894
Valdaracete;2020/03/02 07:00:00;;0;;0;1551
Pozuelo del Rey;2020/03/02 07:00:00;;0;;0;1163
Puebla de la Sierra;2020/03/02 07:00:00;;0;;0;1185
Perales de Tajuña;2020/03/02 07:00:00;;0;;0;1104
Valdemorillo;2020/03/02 07:00:00;;0;;0;1603
Navalafuente;2020/03/02 07:00:00;;0;;0;0941
Velilla de San Antonio;2020/03/02 07:00:00;;0;;0;1678
Villanueva de la Cañada;2020/03/02 07:00:00;;0;;0;1760
Villanueva del Pardillo;2020/03/02 07:00:00;;0;;0;1776
Nuevo Baztán;2020/03/02 07:00:00;;0;;0;1006
Villamantilla;2020/03/02 07:00:00;;0;;0;1757
Villamanta;2020/03/02 07:00:00;;0;;0;1744
Cabanillas de la Sierra;2020/03/02 07:00:00;;0;;0;0297
Cenicientos;2020/03/02 07:00:00;;0;;0;0376
Puentes Viejas;2020/03/02 07:00:00;;0;;0;9020
Aranjuez;2020/03/02 07:00:00;;0;;0;0133
Cercedilla;2020/03/02 07:00:00;;0;;0;0382
Santorcaz;2020/03/02 07:00:00;;0;;0;1369
Coslada;2020/03/02 07:00:00;;0;;0;0493
Morata de Tajuña;2020/03/02 07:00:00;;0;;0;0915
Robregordo;2020/03/02 07:00:00;;0;;0;1261
Navarredonda y San Mamés;2020/03/02 07:00:00;;0;;0;0973
Venturada;2020/03/02 07:00:00;;0;;0;1697
Navacerrada;2020/03/02 07:00:00;;0;;0;0936
Montejo de la Sierra;2020/03/02 07:00:00;;0;;0;0881
Fresno de Torote;2020/03/02 07:00:00;;0;;0;0571
Pinilla del Valle;2020/03/02 07:00:00;;0;;0;1126
Valdemaqueda;2020/03/02 07:00:00;;0;;0;1599
Navas del Rey;2020/03/02 07:00:00;;0;;0;0992
Olmeda de las Fuentes;2020/03/02 07:00:00;;0;;0;1013
Bustarviejo;2020/03/02 07:00:00;;0;;0;0284
Becerril de la Sierra;2020/03/02 07:00:00;;0;;0;0186
Fuenlabrada;2020/03/02 07:00:00;;0,52;;0,52;0587
Garganta de los Montes;2020/03/02 07:00:00;;0;;0;0626
Pinto;2020/03/02 07:00:00;;0;;0;1132
Alameda del Valle;2020/03/02 07:00:00;;0;;0;0035
Berzosa del Lozoya;2020/03/02 07:00:00;;0;;0;0203
Los Santos de la Humosa;2020/03/02 07:00:00;;0;;0;1375
El Álamo;2020/03/02 07:00:00;;0;;0;0040
Pelayos de la Presa;2020/03/02 07:00:00;;0;;0;1090
Galapagar;2020/03/02 07:00:00;;0;;0;0611
Griñón;2020/03/02 07:00:00;;0;;0;0663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/03/02 07:00:00;;0;;0;0632
Aldea del Fresno;2020/03/02 07:00:00;;0;;0;0088
Carabaña;2020/03/02 07:00:00;;0;;0;0357
Talamanca de Jarama;2020/03/02 07:00:00;;0;;0;1454
Chapinería;2020/03/02 07:00:00;;0;;0;0513
Ciempozuelos;2020/03/02 07:00:00;;0;;0;0409
Ajalvir;2020/03/02 07:00:00;;0;;0;0029
San Lorenzo de El Escorial;2020/03/02 07:00:00;;0;;0;1317
Gascones;2020/03/02 07:00:00;;0;;0;0647
San Martín de la Vega;2020/03/02 07:00:00;;0;;0;1322
Móstoles;2020/03/02 07:00:00;;0;;0;0920
Leganés;2020/03/02 07:00:00;;0,53;;0,53;0745
Braojos;2020/03/02 07:00:00;;0;;0;0246
Cubas de la Sagra;2020/03/02 07:00:00;;0;;0;0506
Algete;2020/03/02 07:00:00;;0;;0;0091
Mejorada del Campo;2020/03/02 07:00:00;;0;;0;0843
Loeches;2020/03/02 07:00:00;;0;;0;0758
Parla;2020/03/02 07:00:00;;1,54;;1,54;1065
Fuentidueña de Tajo;2020/03/02 07:00:00;;0;;0;0604
Ambite;2020/03/02 07:00:00;;0;;0;0112
Torremocha de Jarama;2020/03/02 07:00:00;;0;;0;1533
Anchuelo;2020/03/02 07:00:00;;0;;0;0127
Los Molinos;2020/03/02 07:00:00;;0;;0;0875
Soto del Real;2020/03/02 07:00:00;;0;;0;1441
Valverde de Alcalá;2020/03/02 07:00:00;;0;;0;1662
Fuente el Saz de Jarama;2020/03/02 07:00:00;;0;;0;0590
Horcajo de la Sierra-Aoslos;2020/03/02 07:00:00;;0;;0;0702
Valdeolmos-Alalpardo;2020/03/02 07:00:00;;0;;0;1625
Campo Real;2020/03/02 07:00:00;;0;;0;0339
Valdeavero;2020/03/02 07:00:00;;0;;0;1564
Villamanrique de Tajo;2020/03/02 07:00:00;;0;;0;1739
Cobeña;2020/03/02 07:00:00;;0;;0;0416
Fresnedillas de la Oliva;2020/03/02 07:00:00;;0;;0;0565
Valdilecha;2020/03/02 07:00:00;;0;;0;1659
El Berrueco;2020/03/02 07:00:00;;0;;0;0210
Pezuela de las Torres;2020/03/02 07:00:00;;0;;0;1111
Villar del Olmo;2020/03/02 07:00:00;;0;;0;1795
Guadarrama;2020/03/02 07:00:00;;0;;0;0685
San Martín de Valdeiglesias;2020/03/02 07:00:00;;0;;0;1338
Torrelodones;2020/03/02 07:00:00;;0;;0;1527
Boadilla del Monte;2020/03/02 07:00:00;;1,83;;1,83;0225
Torrejón de Velasco;2020/03/02 07:00:00;;0;;0;1505
Villanueva de Perales;2020/03/02 07:00:00;;0;;0;1782
Tielmes;2020/03/02 07:00:00;;0;;0;1467
San Sebastián de los Reyes;2020/03/02 07:00:00;;0;;0;1343
Guadalix de la Sierra;2020/03/02 07:00:00;;0;;0;0679
Humanes de Madrid;2020/03/02 07:00:00;;0;;0;0730
Chinchón;2020/03/02 07:00:00;;0;;0;0528
Cadalso de los Vidrios;2020/03/02 07:00:00;;0;;0;0318
Hoyo de Manzanares;2020/03/02 07:00:00;;0;;0;0724
Torrejón de la Calzada;2020/03/02 07:00:00;;0;;0;1492
Estremera;2020/03/02 07:00:00;;0;;0;0552
Corpa;2020/03/02 07:00:00;;0;;0;0480
Meco;2020/03/02 07:00:00;;0;;0;0838
Madarcos;2020/03/02 07:00:00;;0;;0;0783
Zarzalejo;2020/03/02 07:00:00;;0;;0;1837
Arganda del Rey;2020/03/02 07:00:00;;0;;0;0148
Collado Mediano;2020/03/02 07:00:00;;0;;0;0468
Daganzo de Arriba;2020/03/02 07:00:00;;0;;0;0534
Manzanares El Real;2020/03/02 07:00:00;;0;;0;0822
Buitrago del Lozoya;2020/03/02 07:00:00;;0;;0;0278
Valdelaguna;2020/03/02 07:00:00;;0;;0;1570
Valdepiélagos;2020/03/02 07:00:00;;0;;0;1631
Casarrubuelos;2020/03/02 07:00:00;;0;;0;0360
Miraflores de la Sierra;2020/03/02 07:00:00;;0;;0;0856
Paracuellos de Jarama;2020/03/02 07:00:00;;0;;0;1049
El Vellón;2020/03/02 07:00:00;;0;;0;1684
Lozoya;2020/03/02 07:00:00;;0;;0;0761
Collado Villalba;2020/03/02 07:00:00;;0;;0;0474
Colmenarejo;2020/03/02 07:00:00;;0;;0;0442
Villavieja del Lozoya;2020/03/02 07:00:00;;0;;0;1821
Prádena del Rincón;2020/03/02 07:00:00;;0;;0;1179
La Cabrera;2020/03/02 07:00:00;;0;;0;0301
Sevilla la Nueva;2020/03/02 07:00:00;;0;;0;1415
Santa María de la Alameda;2020/02/26 07:00:00;;0;;0;1356
Horcajuelo de la Sierra;2020/02/26 07:00:00;;0;;0;0719
Arroyomolinos;2020/02/26 07:00:00;;0;;0;0151
Moralzarzal;2020/02/26 07:00:00;;0;;0;0908
Canencia;2020/02/26 07:00:00;;0;;0;0344
Villarejo de Salvanés;2020/02/26 07:00:00;;0;;0;1809
Serranillos del Valle;2020/02/26 07:00:00;;0;;0;1408
Villaviciosa de Odón;2020/02/26 07:00:00;;0;;0;1816
Camarma de Esteruelas;2020/02/26 07:00:00;;0;;0;0323
Robledo de Chavela;2020/02/26 07:00:00;;0;;0;1258
Patones;2020/02/26 07:00:00;;0;;0;1071
Navalagamella;2020/02/26 07:00:00;;0;;0;0954
Rascafría;2020/02/26 07:00:00;;0;;0;1202
El Boalo;2020/02/26 07:00:00;;0;;0;0231
Majadahonda;2020/02/26 07:00:00;;0;;0;0800
Batres;2020/02/26 07:00:00;;0;;0;0170
Alcobendas;2020/02/26 07:00:00;;0;;0;0066
Alcalá de Henares;2020/02/26 07:00:00;;0;;0;0053
Colmenar Viejo;2020/02/26 07:00:00;;0;;0;0455
San Fernando de Henares;2020/02/26 07:00:00;;0;;0;1300
Villalbilla;2020/02/26 07:00:00;;0;;0;1723
El Escorial;2020/02/26 07:00:00;;0;;0;0549
Colmenar del Arroyo;2020/02/26 07:00:00;;0;;0;0421
Torrejón de Ardoz;2020/02/26 07:00:00;;0;;0;1489
Piñuécar-Gandullas;2020/02/26 07:00:00;;0;;0;1147
Brea de Tajo;2020/02/26 07:00:00;;0;;0;0259
El Molar;2020/02/26 07:00:00;;0;;0;0869
Belmonte de Tajo;2020/02/26 07:00:00;;0;;0;0199
Torres de la Alameda;2020/02/26 07:00:00;;0;;0;1548
Somosierra;2020/02/26 07:00:00;;0;;0;1436
Alpedrete;2020/02/26 07:00:00;;0;;0;0105
Orusco de Tajuña;2020/02/26 07:00:00;;0;;0;1028
La Hiruela;2020/02/26 07:00:00;;0;;0;0698
Cervera de Buitrago;2020/02/26 07:00:00;;0;;0;0395
Getafe;2020/02/26 07:00:00;;0;;0;0650
Ribatejada;2020/02/26 07:00:00;;0;;0;1224
Villaconejos;2020/02/26 07:00:00;;0;;0;1701
Arroyomolinos;2020/03/02 07:00:00;;0;;0;0151
Moralzarzal;2020/03/02 07:00:00;;0;;0;0908
Canencia;2020/03/02 07:00:00;;0;;0;0344
Villarejo de Salvanés;2020/03/02 07:00:00;;0;;0;1809
Serranillos del Valle;2020/03/02 07:00:00;;0;;0;1408
Villaviciosa de Odón;2020/03/02 07:00:00;;0;;0;1816
Camarma de Esteruelas;2020/03/02 07:00:00;;0;;0;0323
Robledo de Chavela;2020/03/02 07:00:00;;0;;0;1258
Patones;2020/03/02 07:00:00;;0;;0;1071
Navalagamella;2020/03/02 07:00:00;;0;;0;0954
Rascafría;2020/03/02 07:00:00;;0;;0;1202
El Boalo;2020/03/02 07:00:00;;0;;0;0231
Majadahonda;2020/03/02 07:00:00;;0;;0;0800
Batres;2020/03/02 07:00:00;;0;;0;0170
Alcobendas;2020/03/02 07:00:00;;0,85;;0,85;0066
Alcalá de Henares;2020/03/02 07:00:00;;1,02;;1,02;0053
Colmenar Viejo;2020/03/02 07:00:00;;0;;0;0455
San Fernando de Henares;2020/03/02 07:00:00;;0;;0;1300
Villalbilla;2020/03/02 07:00:00;;0;;0;1723
El Escorial;2020/03/02 07:00:00;;0;;0;0549
Colmenar del Arroyo;2020/03/02 07:00:00;;0;;0;0421
Torrejón de Ardoz;2020/03/02 07:00:00;;3,81;;3,81;1489
Piñuécar-Gandullas;2020/03/02 07:00:00;;0;;0;1147
Brea de Tajo;2020/03/02 07:00:00;;0;;0;0259
El Molar;2020/03/02 07:00:00;;0;;0;0869
Belmonte de Tajo;2020/03/02 07:00:00;;0;;0;0199
Torres de la Alameda;2020/03/02 07:00:00;;0;;0;1548
Somosierra;2020/03/02 07:00:00;;0;;0;1436
Alpedrete;2020/03/02 07:00:00;;0;;0;0105
Orusco de Tajuña;2020/03/02 07:00:00;;0;;0;1028
La Hiruela;2020/03/02 07:00:00;;0;;0;0698
Cervera de Buitrago;2020/03/02 07:00:00;;0;;0;0395
Getafe;2020/03/02 07:00:00;;0,55;;0,55;0650
Ribatejada;2020/03/02 07:00:00;;0;;0;1224
Villaconejos;2020/03/02 07:00:00;;0;;0;1701
Valdetorres de Jarama;2020/03/02 07:00:00;;0;;0;1646
Madrid-Retiro;2020/03/01 07:00:00;;0;;0;079603
Madrid-Salamanca;2020/03/01 07:00:00;;1,37;;1,37;079604
Madrid-Centro;2020/03/01 07:00:00;;0,74;;0,74;079601
Madrid-Arganzuela;2020/03/01 07:00:00;;0;;0;079602
Madrid-Chamartín;2020/03/01 07:00:00;;0;;0;079605
Madrid-Tetuán;2020/03/01 07:00:00;;0,63;;0,63;079606
Madrid-Chamberí;2020/03/01 07:00:00;;0;;0;079607
Madrid-Fuencarral-El Pardo;2020/03/01 07:00:00;;0,81;;0,81;079608
Morata de Tajuña;2020/03/01 07:00:00;;0;;0;0915
Madrid-Moncloa-Aravaca;2020/03/01 07:00:00;;0;;0;079609
Madrid-Latina;2020/03/01 07:00:00;;0;;0;079610
Madrid-Carabanchel;2020/03/01 07:00:00;;0;;0;079611
Madrid-Usera;2020/03/01 07:00:00;;0;;0;079612
Madrid-Puente de Vallecas;2020/03/01 07:00:00;;0,43;;0,43;079613
Madrid-San Blas - Canillejas;2020/03/01 07:00:00;;0;;0;079620
Madrid-Barajas;2020/03/01 07:00:00;;0;;0;079621
Madrid-Moratalaz;2020/03/01 07:00:00;;0;;0;079614
Madrid-Ciudad Lineal;2020/03/01 07:00:00;;0;;0;079615
Madrid-Hortaleza;2020/03/01 07:00:00;;0,53;;0,53;079616
Madrid-Villaverde;2020/03/01 07:00:00;;0;;0;079617
Madrid-Villa de Vallecas;2020/03/01 07:00:00;;0;;0;079618
Madrid-Vicálvaro;2020/03/01 07:00:00;;0;;0;079619
Pozuelo de Alarcón;2020/03/01 07:00:00;;2,31;;2,31;1150
Alcorcón;2020/03/01 07:00:00;;0,59;;0,59;0072
Navalcarnero;2020/03/01 07:00:00;;0;;0;0967
San Agustín del Guadalix;2020/03/01 07:00:00;;0;;0;1296
Las Rozas de Madrid;2020/03/01 07:00:00;;1,04;;1,04;1277
Moraleja de Enmedio;2020/03/01 07:00:00;;0;;0;0894
Valdaracete;2020/03/01 07:00:00;;0;;0;1551
Pozuelo del Rey;2020/03/01 07:00:00;;0;;0;1163
Puebla de la Sierra;2020/03/01 07:00:00;;0;;0;1185
Perales de Tajuña;2020/03/01 07:00:00;;0;;0;1104
Valdemorillo;2020/03/01 07:00:00;;0;;0;1603
Navalafuente;2020/03/01 07:00:00;;0;;0;0941
Velilla de San Antonio;2020/03/01 07:00:00;;0;;0;1678
Villanueva de la Cañada;2020/03/01 07:00:00;;0;;0;1760
Villanueva del Pardillo;2020/03/01 07:00:00;;0;;0;1776
Nuevo Baztán;2020/03/01 07:00:00;;0;;0;1006
Villamantilla;2020/03/01 07:00:00;;0;;0;1757
Villamanta;2020/03/01 07:00:00;;0;;0;1744
Cabanillas de la Sierra;2020/03/01 07:00:00;;0;;0;0297
Cenicientos;2020/03/01 07:00:00;;0;;0;0376
Puentes Viejas;2020/03/01 07:00:00;;0;;0;9020
Aranjuez;2020/03/01 07:00:00;;0;;0;0133
Cercedilla;2020/03/01 07:00:00;;0;;0;0382
Santorcaz;2020/03/01 07:00:00;;0;;0;1369
Coslada;2020/03/01 07:00:00;;0;;0;0493
Robregordo;2020/03/01 07:00:00;;0;;0;1261
Navarredonda y San Mamés;2020/03/01 07:00:00;;0;;0;0973
Venturada;2020/03/01 07:00:00;;0;;0;1697
Navacerrada;2020/03/01 07:00:00;;0;;0;0936
Montejo de la Sierra;2020/03/01 07:00:00;;0;;0;0881
Fresno de Torote;2020/03/01 07:00:00;;0;;0;0571
Pinilla del Valle;2020/03/01 07:00:00;;0;;0;1126
Valdemaqueda;2020/03/01 07:00:00;;0;;0;1599
Navas del Rey;2020/03/01 07:00:00;;0;;0;0992
Olmeda de las Fuentes;2020/03/01 07:00:00;;0;;0;1013
Bustarviejo;2020/03/01 07:00:00;;0;;0;0284
Becerril de la Sierra;2020/03/01 07:00:00;;0;;0;0186
Fuenlabrada;2020/03/01 07:00:00;;0;;0;0587
Garganta de los Montes;2020/03/01 07:00:00;;0;;0;0626
Pinto;2020/03/01 07:00:00;;0;;0;1132
Alameda del Valle;2020/03/01 07:00:00;;0;;0;0035
Berzosa del Lozoya;2020/03/01 07:00:00;;0;;0;0203
Los Santos de la Humosa;2020/03/01 07:00:00;;0;;0;1375
El Álamo;2020/03/01 07:00:00;;0;;0;0040
Pelayos de la Presa;2020/03/01 07:00:00;;0;;0;1090
Galapagar;2020/03/01 07:00:00;;0;;0;0611
Griñón;2020/03/01 07:00:00;;0;;0;0663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/03/01 07:00:00;;0;;0;0632
Aldea del Fresno;2020/03/01 07:00:00;;0;;0;0088
Carabaña;2020/03/01 07:00:00;;0;;0;0357
Talamanca de Jarama;2020/03/01 07:00:00;;0;;0;1454
Chapinería;2020/03/01 07:00:00;;0;;0;0513
Ciempozuelos;2020/03/01 07:00:00;;0;;0;0409
Ajalvir;2020/03/01 07:00:00;;0;;0;0029
San Lorenzo de El Escorial;2020/03/01 07:00:00;;0;;0;1317
Gascones;2020/03/01 07:00:00;;0;;0;0647
San Martín de la Vega;2020/03/01 07:00:00;;0;;0;1322
Móstoles;2020/03/01 07:00:00;;0;;0;0920
Leganés;2020/03/01 07:00:00;;0;;0;0745
Braojos;2020/03/01 07:00:00;;0;;0;0246
Cubas de la Sagra;2020/03/01 07:00:00;;0;;0;0506
Algete;2020/03/01 07:00:00;;0;;0;0091
Mejorada del Campo;2020/03/01 07:00:00;;0;;0;0843
Loeches;2020/03/01 07:00:00;;0;;0;0758
Parla;2020/03/01 07:00:00;;0;;0;1065
Fuentidueña de Tajo;2020/03/01 07:00:00;;0;;0;0604
Ambite;2020/03/01 07:00:00;;0;;0;0112
Torremocha de Jarama;2020/03/01 07:00:00;;0;;0;1533
Anchuelo;2020/03/01 07:00:00;;0;;0;0127
Los Molinos;2020/03/01 07:00:00;;0;;0;0875
Soto del Real;2020/03/01 07:00:00;;0;;0;1441
Valverde de Alcalá;2020/03/01 07:00:00;;0;;0;1662
Fuente el Saz de Jarama;2020/03/01 07:00:00;;0;;0;0590
Horcajo de la Sierra-Aoslos;2020/03/01 07:00:00;;0;;0;0702
Valdeolmos-Alalpardo;2020/03/01 07:00:00;;0;;0;1625
Campo Real;2020/03/01 07:00:00;;0;;0;0339
Valdeavero;2020/03/01 07:00:00;;0;;0;1564
Villamanrique de Tajo;2020/03/01 07:00:00;;0;;0;1739
Cobeña;2020/03/01 07:00:00;;0;;0;0416
Fresnedillas de la Oliva;2020/03/01 07:00:00;;0;;0;0565
Valdilecha;2020/03/01 07:00:00;;0;;0;1659
El Berrueco;2020/03/01 07:00:00;;0;;0;0210
Pezuela de las Torres;2020/03/01 07:00:00;;0;;0;1111
Villar del Olmo;2020/03/01 07:00:00;;0;;0;1795
Guadarrama;2020/03/01 07:00:00;;0;;0;0685
San Martín de Valdeiglesias;2020/03/01 07:00:00;;0;;0;1338
Torrelodones;2020/03/01 07:00:00;;0;;0;1527
Boadilla del Monte;2020/03/01 07:00:00;;1,83;;1,83;0225
Torrejón de Velasco;2020/03/01 07:00:00;;0;;0;1505
Villanueva de Perales;2020/03/01 07:00:00;;0;;0;1782
Tielmes;2020/03/01 07:00:00;;0;;0;1467
San Sebastián de los Reyes;2020/03/01 07:00:00;;0;;0;1343
Guadalix de la Sierra;2020/03/01 07:00:00;;0;;0;0679
Humanes de Madrid;2020/03/01 07:00:00;;0;;0;0730
Chinchón;2020/03/01 07:00:00;;0;;0;0528
Cadalso de los Vidrios;2020/03/01 07:00:00;;0;;0;0318
Hoyo de Manzanares;2020/03/01 07:00:00;;0;;0;0724
Torrejón de la Calzada;2020/03/01 07:00:00;;0;;0;1492
Estremera;2020/03/01 07:00:00;;0;;0;0552
Corpa;2020/03/01 07:00:00;;0;;0;0480
Meco;2020/03/01 07:00:00;;0;;0;0838
Madarcos;2020/03/01 07:00:00;;0;;0;0783
Zarzalejo;2020/03/01 07:00:00;;0;;0;1837
Arganda del Rey;2020/03/01 07:00:00;;0;;0;0148
Collado Mediano;2020/03/01 07:00:00;;0;;0;0468
Daganzo de Arriba;2020/03/01 07:00:00;;0;;0;0534
Manzanares El Real;2020/03/01 07:00:00;;0;;0;0822
Buitrago del Lozoya;2020/03/01 07:00:00;;0;;0;0278
Valdelaguna;2020/03/01 07:00:00;;0;;0;1570
Valdepiélagos;2020/03/01 07:00:00;;0;;0;1631
Casarrubuelos;2020/03/01 07:00:00;;0;;0;0360
Miraflores de la Sierra;2020/03/01 07:00:00;;0;;0;0856
Paracuellos de Jarama;2020/03/01 07:00:00;;0;;0;1049
El Vellón;2020/03/01 07:00:00;;0;;0;1684
Lozoya;2020/03/01 07:00:00;;0;;0;0761
Collado Villalba;2020/03/01 07:00:00;;0;;0;0474
Colmenarejo;2020/03/01 07:00:00;;0;;0;0442
Villavieja del Lozoya;2020/03/01 07:00:00;;0;;0;1821
Prádena del Rincón;2020/03/01 07:00:00;;0;;0;1179
La Cabrera;2020/03/01 07:00:00;;0;;0;0301
Sevilla la Nueva;2020/03/01 07:00:00;;0;;0;1415
La Acebeda;2020/03/01 07:00:00;;0;;0;0014
Redueña;2020/03/01 07:00:00;;0;;0;1219
Robledillo de la Jara;2020/03/01 07:00:00;;0;;0;1245
La Serna del Monte;2020/03/01 07:00:00;;0;;0;1381
Colmenar de Oreja;2020/03/01 07:00:00;;0;;0;0437
Rozas de Puerto Real;2020/03/01 07:00:00;;0;;0;1283
Valdemanco;2020/03/01 07:00:00;;0;;0;1586
Brunete;2020/03/01 07:00:00;;0;;0;0262
Titulcia;2020/03/01 07:00:00;;0;;0;1473
Villa del Prado;2020/03/01 07:00:00;;0;;0;1718
Lozoyuela-Navas-Sieteiglesias;2020/03/01 07:00:00;;0;;0;9015
Quijorna;2020/03/01 07:00:00;;0;;0;1198
Valdemoro;2020/03/01 07:00:00;;0;;0;1610
Tres Cantos;2020/03/01 07:00:00;;0;;0;9036
Torrelaguna;2020/03/01 07:00:00;;0;;0;1512
Rivas-Vaciamadrid;2020/03/01 07:00:00;;0;;0;1230
El Atazar;2020/03/01 07:00:00;;0;;0;0164
Pedrezuela;2020/03/01 07:00:00;;0;;0;1087
Santa María de la Alameda;2020/03/01 07:00:00;;0;;0;1356
Horcajuelo de la Sierra;2020/03/01 07:00:00;;0;;0;0719
Arroyomolinos;2020/03/01 07:00:00;;0;;0;0151
Valdilecha;2020/02/27 07:00:00;;0;;0;1659
El Berrueco;2020/02/27 07:00:00;;0;;0;0210
Pezuela de las Torres;2020/02/27 07:00:00;;0;;0;1111
Villar del Olmo;2020/02/27 07:00:00;;0;;0;1795
Guadarrama;2020/02/27 07:00:00;;0;;0;0685
San Martín de Valdeiglesias;2020/02/27 07:00:00;;0;;0;1338
Torrelodones;2020/02/27 07:00:00;;0;;0;1527
Villaviciosa de Odón;2020/03/01 07:00:00;;0;;0;1816
Camarma de Esteruelas;2020/03/01 07:00:00;;0;;0;0323
Robledo de Chavela;2020/03/01 07:00:00;;0;;0;1258
Patones;2020/03/01 07:00:00;;0;;0;1071
Navalagamella;2020/03/01 07:00:00;;0;;0;0954
Rascafría;2020/03/01 07:00:00;;0;;0;1202
El Boalo;2020/03/01 07:00:00;;0;;0;0231
Majadahonda;2020/03/01 07:00:00;;0;;0;0800
Batres;2020/03/01 07:00:00;;0;;0;0170
Alcobendas;2020/03/01 07:00:00;;0,85;;0,85;0066
Alcalá de Henares;2020/03/01 07:00:00;;0,51;;0,51;0053
Colmenar Viejo;2020/03/01 07:00:00;;0;;0;0455
San Fernando de Henares;2020/03/01 07:00:00;;0;;0;1300
Villalbilla;2020/03/01 07:00:00;;0;;0;1723
El Escorial;2020/03/01 07:00:00;;0;;0;0549
Colmenar del Arroyo;2020/03/01 07:00:00;;0;;0;0421
Torrejón de Ardoz;2020/03/01 07:00:00;;2,28;;2,28;1489
Piñuécar-Gandullas;2020/03/01 07:00:00;;0;;0;1147
Brea de Tajo;2020/03/01 07:00:00;;0;;0;0259
El Molar;2020/03/01 07:00:00;;0;;0;0869
Belmonte de Tajo;2020/03/01 07:00:00;;0;;0;0199
Torres de la Alameda;2020/03/01 07:00:00;;0;;0;1548
Somosierra;2020/03/01 07:00:00;;0;;0;1436
Alpedrete;2020/03/01 07:00:00;;0;;0;0105
Orusco de Tajuña;2020/03/01 07:00:00;;0;;0;1028
La Hiruela;2020/03/01 07:00:00;;0;;0;0698
Cervera de Buitrago;2020/03/01 07:00:00;;0;;0;0395
Getafe;2020/03/01 07:00:00;;0;;0;0650
Ribatejada;2020/03/01 07:00:00;;0;;0;1224
Villaconejos;2020/03/01 07:00:00;;0;;0;1701
Valdetorres de Jarama;2020/03/01 07:00:00;;0;;0;1646
Madrid-Retiro;2020/02/29 07:00:00;;0;;0;079603
Madrid-Salamanca;2020/02/29 07:00:00;;1,37;;1,37;079604
Madrid-Centro;2020/02/29 07:00:00;;0,74;;0,74;079601
Madrid-Arganzuela;2020/02/29 07:00:00;;0;;0;079602
Madrid-Chamartín;2020/02/29 07:00:00;;0;;0;079605
Madrid-Tetuán;2020/02/29 07:00:00;;0,63;;0,63;079606
Madrid-Chamberí;2020/02/29 07:00:00;;0;;0;079607
Madrid-Fuencarral-El Pardo;2020/02/29 07:00:00;;0,81;;0,81;079608
Navalafuente;2020/02/29 07:00:00;;0;;0;0941
Velilla de San Antonio;2020/02/29 07:00:00;;0;;0;1678
Villanueva de la Cañada;2020/02/29 07:00:00;;0;;0;1760
